PG,EDICAO,TIPO,SUBTIPO,ORI,RETRANCA,REP,LOC,tCab,tVT,tMat,MODI,APV,TEMPO,ASSUNTO
0,,,,,DF2  -  Formato,,,,,,,,00:00:00,
1,,,,,,,,00:00,00:00,00:00,,,00:00:00,
2,,,,,,,,00:00,00:00,00:00,,,00:00:00,
3,,,,,,,,00:00,00:00,00:00,,,00:00:00,
4,,,,,,,,00:00,00:00,00:00,,,00:00:00,
5,,,,,,,,00:00,00:00,00:00,,,00:00:00,
6,,,,,,,,00:00,00:00,00:00,,,00:00:00,
7,,,,,,,,00:00,00:00,00:00,,,00:00:00,
8,,,,,,,,00:00,00:00,00:00,,,00:00:00,
9,,,,,,,,00:00,00:00,00:00,,,00:00:00,
10,,,,,,,,00:00,00:00,00:00,,,00:00:00,
11,,,,,,,,00:00,00:00,00:00,,,00:00:00,
12,,,,,,,,00:00,00:00,00:00,,,00:00:00,
13,,,,,,,,00:00,00:00,00:00,,,00:00:00,
14,,,,,,,,00:00,00:00,00:00,,,00:00:00,
15,,,,,***** INTERVALO 1 *****,,,00:00,00:00,00:00,,,00:00:00,
16,,,,,,,,00:00,00:00,00:00,,,00:00:00,
17,,,,,,,,00:00,00:00,00:00,,,00:00:00,
18,,,,,,,,00:00,00:00,00:00,,,00:00:00,
19,,,,,,,,00:00,00:00,00:00,,,00:00:00,
20,,,,,,,,00:00,00:00,00:00,,,00:00:00,
21,,,,,,,,00:00,00:00,00:00,,,00:00:00,
22,,,,,,,,00:00,00:00,00:00,,,00:00:00,
23,,,,,,,,00:00,00:00,00:00,,,00:00:00,
24,,,,,,,,00:00,00:00,00:00,,,00:00:00,
25,,,,,***** INTERVALO 2 *****,,,00:00,00:00,00:00,,,00:00:00,
26,,,,,,,,00:00,00:00,00:00,,,00:00:00,
27,,,,,,,,00:00,00:00,00:00,,,00:00:00,
28,,,,,,,,00:00,00:00,00:00,,,00:00:00,
29,,,,,,,,00:00,00:00,00:00,,,00:00:00,
30,,,,,,,,00:00,00:00,00:00,,,00:00:00,
31,,,,,,,,00:00,00:00,00:00,,,00:00:00,
32,,,,,,,,00:00,00:00,00:00,,,00:00:00,
33,,,,,,,,00:00,00:00,00:00,,,00:00:00,
34,,,,,,,,00:00,00:00,00:00,,,00:00:00,
35,,,,,***** INTERVALO 3 *****,,,00:00,00:00,00:00,,,00:00:00,
36,,,,,,,,00:00,00:00,00:00,,,00:00:00,
37,,,,,,,,00:00,00:00,00:00,,,00:00:00,
38,,,,,,,,00:00,00:00,00:00,,,00:00:00,
39,,,,,,,,00:00,00:00,00:00,,,00:00:00,
40,,,,,,,,00:00,00:00,00:00,,,00:00:00,
41,,,,,,,,00:00,00:00,00:00,,,00:00:00,
42,,,,,,,,00:00,00:00,00:00,,,00:00:00,
43,,,,,,,,00:00,00:00,00:00,,,00:00:00,
44,,,,,,,,00:00,00:00,00:00,,,00:00:00,
45,,,,,***** ENCERRAMENTO *****,,,00:00,00:00,00:00,,,00:00:00,
46,,,,,SAÍDA:,,,00:00,00:00,00:00,,,00:00:00,
47,,,,,TEMPO de PROD:,,,00:00,00:00,00:00,,,00:00:00,
48,,,,,ENTRADA JORNAL:,,,00:00,00:00,00:00,,,00:00:00,
49,,,,,***** STAND - BY *****,,,00:00,00:00,00:00,,,00:00:00,
50,,,,,,,,00:00,00:00,00:00,,,00:00:00,
51,,,,,,,,00:00,00:00,00:00,,,00:00:00,
52,,,,,,,,00:00,00:00,00:00,,,00:00:00,
53,,,,,,,,00:00,00:00,00:00,,,00:00:00,
54,,,,,,,,00:00,00:00,00:00,,,00:00:00,
55,,,,,,,,00:00,00:00,00:00,,,00:00:00,
56,,,,,,,,00:00,00:00,00:00,,,00:00:00,
57,,,,,,,,00:00,00:00,00:00,,,00:00:00,
58,,,,,,,,00:00,00:00,00:00,,,00:00:00,
59,,,,,,,,00:00,00:00,00:00,,,00:00:00,
60,,,,,,,,00:00,00:00,00:00,,,00:00:00,
61,,,,,CHAMADA,,,00:00,00:00,00:00,,,00:00:00,
62,,,,,CHAMADA,,,00:00,00:00,00:00,,,00:00:00,
63,,,,,CHAMADA,,,00:00,00:00,00:00,,,00:00:00,
64,,,,,CHAMADA,,,00:00,00:00,00:00,,,00:00:00,
65,,,,,CHAMADA,,,00:00,00:00,00:00,,,00:00:00,
66,,,,,,,,00:00,00:00,00:00,,,00:00:00,
67,,,,,,,,00:00,00:00,00:00,,,00:00:00,
68,,,,,,,,00:00,00:00,00:00,,,00:00:00,
69,,,,,,,,00:00,00:00,00:00,,,00:00:00,
