2025-08-05 19:10:17 - Memória usada  - 17,71 MB
2025-08-05 19:10:18 - Memória usada  - 16,45 MB
2025-08-05 19:10:19 - Memória usada  - 16,42 MB
2025-08-05 19:10:20 - Memória usada  - 16,42 MB
2025-08-05 19:10:21 - Memória usada  - 16,88 MB
2025-08-05 19:10:22 - Memória usada  - 16,61 MB
2025-08-05 19:10:23 - Memória usada  - 16,62 MB
2025-08-05 19:10:24 - Memória usada  - 16,62 MB
2025-08-05 19:10:25 - Memória usada  - 16,61 MB
2025-08-05 19:10:26 - Memória usada  - 16,89 MB
2025-08-05 19:10:28 - Memória usada  - 17,16 MB
2025-08-05 19:10:28 - Memória usada  - 16,97 MB
2025-08-05 19:10:29 - Memória usada  - 17,07 MB
2025-08-05 19:10:30 - Memória usada  - 17,00 MB
2025-08-05 19:10:31 - Memória usada  - 17,00 MB
2025-08-05 19:10:32 - Memória usada  - 16,81 MB
2025-08-05 19:10:33 - Memória usada  - 16,80 MB
2025-08-05 19:10:34 - Memória usada  - 16,81 MB
2025-08-05 19:10:36 - Memória usada  - 16,93 MB
2025-08-05 19:10:37 - Memória usada  - 16,81 MB
2025-08-05 19:10:38 - Memória usada  - 17,00 MB
2025-08-05 19:10:39 - Memória usada  - 17,00 MB
2025-08-05 19:10:40 - Memória usada  - 17,01 MB
2025-08-05 19:10:41 - Memória usada  - 17,00 MB
2025-08-05 19:10:42 - Memória usada  - 17,00 MB
2025-08-05 19:10:43 - Memória usada  - 17,00 MB
2025-08-05 19:10:44 - Memória usada  - 16,99 MB
2025-08-05 19:10:45 - Memória usada  - 17,00 MB
2025-08-05 19:10:46 - Memória usada  - 17,12 MB
2025-08-05 19:10:47 - Memória usada  - 17,00 MB
2025-08-05 19:10:48 - Memória usada  - 17,00 MB
2025-08-05 19:10:49 - Memória usada  - 17,00 MB
2025-08-05 19:10:50 - Memória usada  - 16,83 MB
2025-08-05 19:10:51 - Memória usada  - 16,81 MB
2025-08-05 19:10:52 - Memória usada  - 16,81 MB
2025-08-05 19:10:53 - Memória usada  - 16,81 MB
2025-08-05 19:10:54 - Memória usada  - 16,80 MB
2025-08-05 19:10:55 - Memória usada  - 16,81 MB
2025-08-05 19:10:56 - Memória usada  - 16,93 MB
2025-08-05 19:10:57 - Memória usada  - 16,81 MB
2025-08-05 19:10:58 - Memória usada  - 16,81 MB
2025-08-05 19:10:59 - Memória usada  - 16,81 MB
2025-08-05 19:11:00 - Memória usada  - 16,83 MB
2025-08-05 19:11:01 - Memória usada  - 16,81 MB
2025-08-05 19:11:02 - Memória usada  - 16,81 MB
2025-08-05 19:11:03 - Memória usada  - 16,81 MB
2025-08-05 19:11:04 - Memória usada  - 16,80 MB
2025-08-05 19:11:05 - Memória usada  - 16,81 MB
2025-08-05 19:11:07 - Memória usada  - 16,93 MB
