PG,EDICAO,TIPO,SUBTIPO,ORIGEM,RETRANCA,REP,LOC,tCab,tVT,tMat,MODI,APV,TEMPO,ASSUNTO
0,,,,,BDBR - 03/07/2025,,,00:00,00:00,00:00,,,10:50:00,
1,,,,,,,,10:00,00:00,10:00,,,10:50:00,
2,,,,,,,,01:00,20:00,21:00,,,11:00:00,
3,,,,,,,,15:00,00:00,15:00,,,11:21:00,
4,,,,,,,,15:00,00:00,15:00,,,11:36:00,
5,,,,,,,,20:00,00:00,20:00,,,11:51:00,
6,,,,,,,,14:25,00:00,14:25,,,12:11:00,
7,,,,,,,,10:00,00:00,10:00,,,12:25:25,
8,,,,,,,,00:00,00:00,00:00,,,12:35:25,
9,,,,,,,,15:00,00:00,15:00,,,12:35:25,
10,,,,,,,,15:00,00:00,15:00,,,12:50:25,
11,,,,,,,,00:00,00:00,00:00,,,13:05:25,
12,,,,,,,,00:00,00:00,00:00,,,13:05:25,
13,,,,,,,,10:00,00:00,10:00,,,13:05:25,
14,,,,,,,,00:00,00:00,00:00,,,13:15:25,
