PG,EDICAO,TIPO,SUBTIPO,ORIGEM,RETRANCA,REP,LOC,tCab,tVT,tMat,MODI,APV,TEMPO,ASSUNTO
0,,,,,BDDF - 03/07/2025,,,00:00,00:00,00:00,,,12:55:00,
1,,,,,,,,01:00,00:00,01:00,,,12:55:00,
2,,,,,,,,05:00,02:00,07:00,,,12:56:00,
3,,,,,,,,40:00,00:00,40:00,,,13:03:00,
4,,,,,,,,12:00,00:00,12:00,,,13:43:00,
5,,,,,,,,15:00,00:00,15:00,,,13:55:00,
6,,,,,,,,14:00,00:00,14:00,,,14:10:00,
7,,,,,,,,20:00,20:00,40:00,,,14:24:00,
8,,,,,,,,22:00,00:00,22:00,,,15:04:00,
9,,,,,,,,00:00,20:00,20:00,,,15:26:00,
10,,,,,,,,14:00,00:00,14:00,,,15:46:00,
11,,,,,,,,11:00,00:00,11:00,,,16:00:00,
12,,,,,,,,20:00,00:00,20:00,,,16:11:00,
13,,,,,,,,00:00,00:00,00:00,,,16:31:00,
