PG,EDICAO,TIPO,SUBTIPO,ORIGEM,RETRANCA,REP,LOC,tCab,tVT,tMat,MODI,APV,TEMPO,ASSUNTO
0,,,,,DF2 - 03/07/2025,,,00:00,00:00,00:00,,,18:50:00,
1,,,,,,,,05:25,00:00,05:25,,,00:00:00,
2,,,,,,,,05:00,00:00,05:00,,,00:05:25,
3,,,,,,,,05:25,00:00,05:25,,,00:10:25,
4,,,,,,,,00:00,00:00,00:00,,,00:15:50,
5,,,,,,,,00:00,00:00,00:00,,,00:15:50,
6,,,,,,,,00:00,00:00,00:00,,,00:15:50,
7,,,,,,,,00:00,00:00,00:00,,,00:15:50,
8,,,,,,,,00:00,00:00,00:00,,,00:15:50,
9,,,,,,,,00:00,00:00,00:00,,,00:15:50,
10,,,,,,,,00:00,00:00,00:00,,,00:15:50,
11,,,,,,,,00:00,00:00,00:00,,,00:15:50,
12,,,,,,,,00:00,00:00,00:00,,,00:15:50,
13,,,,,,,,00:00,00:00,00:00,,,00:15:50,
14,,,,,,,,00:00,00:00,00:00,,,00:15:50,
15,,,,,,,,00:00,00:00,00:00,,,00:15:50,
16,,,,,,,,00:00,00:00,00:00,,,00:15:50,
17,,,,,,,,00:00,00:00,00:00,,,00:15:50,
18,,,,,,,,00:00,00:00,00:00,,,00:00:00,
19,,,,,,,,00:00,00:00,00:00,,,00:00:00,
20,,,,,,,,00:00,00:00,00:00,,,00:00:00,
21,,,,,,,,00:00,00:00,00:00,,,00:00:00,
22,,,,,,,,00:00,00:00,00:00,,,00:00:00,
23,,,,,,,,00:00,00:00,00:00,,,00:00:00,
24,,,,,,,,00:00,00:00,00:00,,,00:00:00,
25,,,,,,,,00:00,00:00,00:00,,,00:00:00,
26,,,,,,,,00:00,00:00,00:00,,,00:00:00,
27,,,,,,,,00:00,00:00,00:00,,,00:00:00,
28,,,,,,,,00:00,00:00,00:00,,,00:00:00,
29,,,,,,,,00:00,00:00,00:00,,,00:00:00,
30,,,,,,,,00:00,00:00,00:00,,,00:00:00,
31,,,,,,,,00:00,00:00,00:00,,,00:00:00,
32,,,,,,,,00:00,00:00,00:00,,,00:00:00,
33,,,,,,,,00:00,00:00,00:00,,,00:00:00,
